ID,UPA,EventDate,Employer,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,General Nature,General Event,General Source,NAICS Desc
20221211027,1980400,12/20/22,"Cargill, Incorporated",FORT MORGAN,COLORADO,80701.0,40.24,-103.77,311612,0,1.0,"An employee was attaching the paddle bone pull to remove the bones from a meat carcass. The paddle bone pull came down on the employee's finger, severing it. The tip of the finger was later reattached.",1311.0,Amputations,4422.0,Fingertip(s),6412.0,Caught in running equipment or machinery during regular operation,3715.0,Butchering machinery,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211024,1980183,12/20/22,"Lonestar Beef Processors, L.P.",SAN ANGELO,TEXAS,76903.0,31.49,-100.4,311611,1,0.0,"An employee was moving cattle from a pen to a tub when a bull got around the cattle guard. The employee climbed over the cattle guard to move away from the bull and the bull struck his arm, resulting in a fracture.",111.0,Fractures,420.0,"Arm(s), unspecified",1324.0,Gored or rammed by animal,5153.0,Cattle and other bovines ,"Injuries to the brain, spinal cord",Violent Acts,"Animals, Plants, Persons, etc.",Manufacturing
20221211021,1994014,12/20/22,Southeast Millworks and Supply LLC,SAVANNAH,GEORGIA,31404.0,32.06,-81.04,337110,0,1.0,"An employee was using a sliding panel saw to cut a panel for a cabinet. As the employee cut the wood, the wood was retracted past the blade, then caught by the blade and thrown at the employee's right hand. The employee suffered an amputation to the midd",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6241.0,"Struck by dislodged flying object, particle",4152.0,"Plywood, wood paneling; particle, chip, flake board",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221211016,1980809,12/20/22,Schilling Schu Industries LLC,RANDOM LAKE,WISCONSIN,53075.0,43.54,-87.94,337211,0,1.0,"On December 20, 2022, an employee was working with a machine. He had just placed material into the machine's drilling area, and was lowering the material hold-down to start the drilling process, when the hold-down caught his hand. The rotating drill bit ",1311.0,Amputations,4422.0,Fingertip(s),6412.0,Caught in running equipment or machinery during regular operation,3525.0,"Boring, routing, notching machines",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211000,1979676,12/19/22,"Owen Electric Company, INC",SAINT AUGUSTINE,FLORIDA,32084.0,29.86,-81.33,238210,0,1.0,"Employees were moving a 397-pound plotter printer over a doorstop/threshold when the injured employee's hand became wedged between the bottom of the plotter and the doorstop. As the employee pulled his hand back, he sustained a partial amputation of the ",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",642.0,Compressed or pinched by shifting objects or equipment,3615.0,Printers and plotters-computer,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210999,1979184,12/19/22,"MAUMEE ASSEMBLY & STAMPING, LLC",MAUMEE,OHIO,43537.0,41.56,-83.67,332999,0,1.0,"An employee was picking up 10-pound steel blanks from a conveyor when a blank fell, resulting in amputation of the employee's little finger at the first joint.",1311.0,Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",6233.0,Struck by object falling from vehicle or machinery-other than vehicle part,4130.0,"Structural metal materials, unspecified",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221210989,1979485,12/19/22,"Airtron Heating and air, Inc.",DALLAS,TEXAS,75220.0,32.86,-96.88,333415,0,1.0,"An employee was retrieving an item from the passenger seat of a vehicle. Upon shutting the passenger door, the employee's finger was caught in the door, resulting in an amputation to the left index finger.",1311.0,Amputations,4422.0,Fingertip(s),6213.0,Struck by swinging part of powered vehicle,840.0,"Highway vehicle, motorized, unspecified",Surface and flesh wounds,Contact Incidents,Vehicles,Manufacturing
20221210986,1979728,12/19/22,"Oklahoma Steel & Wire Co., LLC",MADILL,OKLAHOMA,73446.0,34.09,-96.77,332618,0,1.0,"An employee was conducting start-up procedures for a fine wire drawing machine when the steel wire began to coil inside the machine. The employee went to clear the wire when their finger contacted rotating parts, resulting in a fingertip amputation.",1311.0,Amputations,4422.0,Fingertip(s),6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3599.0,"Metal, woodworking, and special material machinery, n.e.c.",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210979,1979604,12/19/22,Irving Forrest Products,ASHLAND,MAINE,4732.0,46.7,-68.45,321113,0,1.0,"An employee was helping to lift a press roll in to fix an issue that was occurring. A co-worker lost their grip and the press roll fell onto the injured employee's left index finger, resulting in a crush injury and amputation.",1311.0,Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",6232.0,Struck by object or equipment dropped by other person,4427.0,Rollers,Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221210973,1979672,12/19/22,Sea Level Construction,THIBODAUX,LOUISIANA,70301.0,29.76,-90.82,238910,1,1.0,"An employee was using a circular saw to cut a 2x4 for concrete forms. When he went to finish a cut on a 2x4, the saw kicked back and the blade made contact with his left thumb, causing an amputation to the tip.",1311.0,Amputations,4422.0,Fingertip(s),6252.0,Injured by slipping or swinging object held by injured worker,7224.0,"Saws-powered, except chainsaws",Surface and flesh wounds,Contact Incidents,"Tools, Instruments, and Equipment",Manufacturing
20221210968,1979156,12/18/22,Callan Marine,ROCKPORT,TEXAS,78382.0,28.07,-97.1,212321,1,0.0,An employee was welding a door on a floating barge when the clean out box door slammed on his left arm. He sustained a wrist and elbow fracture that required surgery and hospitalization.,111.0,Fractures,4831.0,Wrist(s) and elbow(s),259.0,"Water vehicle incident, n.e.c.",831.0,Barge,"Injuries to the brain, spinal cord",Transportation Incident,Vehicles,Manufacturing
20221210948,1979175,12/17/22,Frito-Lay,TOPEKA,KANSAS,66609.0,38.98,-95.69,311919,1,0.0,"An employee was reaching down to grab a bag of chips to place it on the infeed conveyor for packing. The employee's hand contacted the edge of the conveyor and was pinched between the conveyor and the frame, resulting in an amputation to the right middle",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6412.0,Caught in running equipment or machinery during regular operation,3732.0,"Packaging, wrapping, bundling machinery",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221210937,1978707,12/16/22,ITW Food Equipment,TROY,OHIO,45373.0,40.03,-84.21,333241,1,0.0,"An employee was loading a 60-pound stainless steel part onto a soup kettle fixture. The part fell onto his thumb, resulting in a possible amputation.",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6230.0,"Struck by falling object or equipment, unspecified",40.0,"Parts and materials, unspecified",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
